PSnF,PS,PL,PC,FP,FN,atributos,Total,confianza,soporte,SA,SF
0.743,0.709,0.631,0.631,59,7,34,1016,0.5,0.0,8,8
0.743,0.709,0.754,0.754,37,7,34,796,0.6,0.0,8,8
0.743,0.709,0.788,0.788,24,14,34,579,0.7,0.0,8,8
0.743,0.709,0.838,0.838,14,15,34,521,0.75,0.0,8,8
0.743,0.709,0.838,0.838,4,25,34,417,0.8,0.0,8,8
0.743,0.709,0.838,0.838,3,26,34,323,0.85,0.0,8,8
0.743,0.709,0.816,0.816,2,31,34,269,0.9,0.0,8,8
0.743,0.709,0.788,0.788,0,38,34,217,0.95,0.0,8,8
0.743,0.709,0.631,0.631,59,7,34,936,0.5,0.001,8,8
0.743,0.709,0.754,0.754,37,7,34,716,0.6,0.001,8,8
0.743,0.709,0.788,0.788,24,14,34,499,0.7,0.001,8,8
0.743,0.709,0.838,0.838,14,15,34,441,0.75,0.001,8,8
0.743,0.709,0.838,0.838,4,25,34,337,0.8,0.001,8,8
0.743,0.709,0.838,0.838,3,26,34,243,0.85,0.001,8,8
0.743,0.709,0.816,0.816,2,31,34,189,0.9,0.001,8,8
0.743,0.709,0.788,0.788,0,38,34,137,0.95,0.001,8,8
0.743,0.709,0.631,0.631,59,7,34,845,0.5,0.003,8,8
0.743,0.709,0.754,0.754,37,7,34,680,0.6,0.003,8,8
0.743,0.709,0.788,0.788,24,14,34,463,0.7,0.003,8,8
0.743,0.709,0.838,0.838,14,15,34,405,0.75,0.003,8,8
0.743,0.709,0.838,0.838,4,25,34,301,0.8,0.003,8,8
0.743,0.709,0.838,0.838,3,26,34,207,0.85,0.003,8,8
0.743,0.709,0.816,0.816,2,31,34,153,0.9,0.003,8,8
0.743,0.709,0.788,0.788,0,38,34,101,0.95,0.003,8,8
0.743,0.709,0.631,0.631,59,7,34,739,0.5,0.004,8,8
0.743,0.709,0.754,0.754,37,7,34,601,0.6,0.004,8,8
0.743,0.709,0.788,0.788,24,14,34,441,0.7,0.004,8,8
0.743,0.709,0.838,0.838,14,15,34,383,0.75,0.004,8,8
0.743,0.709,0.838,0.838,4,25,34,279,0.8,0.004,8,8
0.743,0.709,0.838,0.838,3,26,34,185,0.85,0.004,8,8
0.743,0.709,0.816,0.816,2,31,34,131,0.9,0.004,8,8
0.743,0.709,0.788,0.788,0,38,34,79,0.95,0.004,8,8
0.743,0.709,0.631,0.631,59,7,34,661,0.5,0.006,8,8
0.743,0.709,0.754,0.754,37,7,34,536,0.6,0.006,8,8
0.743,0.709,0.788,0.788,24,14,34,394,0.7,0.006,8,8
0.743,0.709,0.838,0.838,14,15,34,336,0.75,0.006,8,8
0.743,0.709,0.838,0.838,4,25,34,263,0.8,0.006,8,8
0.743,0.709,0.838,0.838,3,26,34,169,0.85,0.006,8,8
0.743,0.709,0.816,0.816,2,31,34,115,0.9,0.006,8,8
0.743,0.709,0.788,0.788,0,38,34,63,0.95,0.006,8,8
0.743,0.709,0.631,0.631,59,7,34,419,0.5,0.011,8,8
0.743,0.709,0.754,0.754,37,7,34,341,0.6,0.011,8,8
0.743,0.709,0.788,0.788,24,14,34,244,0.7,0.011,8,8
0.743,0.709,0.838,0.838,14,15,34,205,0.75,0.011,8,8
0.743,0.709,0.838,0.838,4,25,34,154,0.8,0.011,8,8
0.743,0.709,0.827,0.827,3,28,34,113,0.85,0.011,8,8
0.743,0.709,0.816,0.816,2,31,34,84,0.9,0.011,8,8
0.743,0.709,0.788,0.788,0,38,34,32,0.95,0.011,8,8
0.743,0.615,0.631,0.631,59,7,34,77,0.5,0.045,8,8
0.743,0.615,0.749,0.749,35,10,34,59,0.6,0.045,8,8
0.743,0.615,0.799,0.799,21,15,34,40,0.7,0.045,8,8
0.743,0.615,0.849,0.849,8,19,34,28,0.75,0.045,8,8
0.743,0.615,0.832,0.832,2,28,34,14,0.8,0.045,8,8
0.743,0.615,0.816,0.816,2,31,34,12,0.85,0.045,8,8
0.743,0.615,0.816,0.816,2,31,34,11,0.9,0.045,8,8
0.743,0.615,0.737,0.737,0,47,34,4,0.95,0.045,8,8
0.743,0.615,0.816,0.816,14,19,34,2,0.5,0.18,8,8
0.743,0.615,0.816,0.816,14,19,34,2,0.6,0.18,8,8
0.743,0.615,0.816,0.816,14,19,34,1,0.7,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.75,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.8,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.85,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.9,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.95,0.18,8,8
